name	date published	abn	client of
Australian Energy Resources Growth Centre Ltd	2 February 2023	24 609 540 285	CGM Communications Pty Ltd | 66 619 642 858
AUSTRALIAN ENTERTAINMENT INDUSTRY ASSOCIATION	15 July 2024	43 095 907 857	SEC Newgate Pty Limited | 38 162 366 056
Australian Entrepreneurs Alliance	21 October 2024	38 633 188 735	Mission Consulting Solutions | 32 660 516 974
Australian Federal Police Association	23 September 2022	95 799 543 741	Chris Hayes Consulting | 83 684 527 602
Australian Federation of Travel Agents	8 July 2020	72 001 444 275	ALPHA Consult Pty Ltd | 39 612 003 460
Australian Federation of Ukrainian Organisations	12 April 2024	40 104 855 692	Brockwell Strategy Pty Ltd | 85 675 736 259
Australian Federation of Ukrainian Organisations	6 December 2022	40 104 855 692	SEC Newgate Pty Limited | 38 162 366 056
Australian Finance Group Ltd	15 May 2024	11 066 385 822	Richardson Coutts Pty Ltd | 82 378 912 405
Australian Fishing Trade Association (AFTA)	1 November 2018		The Hon. Robert Charles Baldwin | 20 018 352 673
Australian Fresh Produce Alliance Ltd	24 March 2023	11 631 297 642	Anacta Strategies Pty Ltd | 64 633 978 677
Australian Gas Infrastructure Group	13 February 2020	54 871 588 515	Purple Communications Australia Pty Ltd | 37 108 802 366
Australian Gas Infrastructure Group	13 June 2023		Spring Street Advisory Pty Ltd | 92 603 411 650
AUSTRALIAN GENERAL PRACTICE ACCREDITATION LIMITED	19 December 2024	60 077 562 406	The Inner Circle Strategic Advisory | 51 823 820 442
AUSTRALIAN GENOME RESEARCH FACILITY LIMITED	11 December 2024	63 097 086 292	Shawview Consulting Australia Pty Ltd | 90 637 759 874
AUSTRALIAN GENOMIC CANCER MEDICINE CENTRE LTD trading as Omico	26 October 2022	67 627 640 733	TSB Advisory Pty Ltd | 90 604 408 826
Australian Geoscience Council Inc	17 January 2019		Leisure Solutions Pty Ltd | 61 982 432 138
Australian Government Department of Defence	5 June 2020		Mr John Kindler | 74 596 834 710
Australian Health Research Alliance	12 September 2018		Jannette Cotterell | 51 364 113 263
Australian Hide Skin and Leather Exporters Association	5 July 2021	39 174 408 287	Daymark Public Relations Pty Ltd | 70 737 580 108
Australian Home Child Care Association	15 November 2018		Fowlstone Communications Pty Ltd | 74 085 739 046
Australian Hotels Association (AHA)	5 August 2024		Capetal Advisory Pty Ltd | 86 615 732 182
Australian Hotels Association (NSW)	29 August 2012	64 243 628 807	Premier State Consulting Pty Ltd | 26 149 964 189
Australian Hotels Association (NSW)	13 February 2018	64 243 628 807	PremierNational Pty Ltd | 71 619 450 841
AUSTRALIAN HOTELS ASSOCIATION (NSW)	17 December 2024	64 243 628 807	Sapphire Executive Business Services | 17 661 600 504
Australian Imported Motor Vehicle Industry Association	9 February 2018	98 862 275 106	Ascend Strategic Counsel Pty Ltd | 26 726 483 358
Australian Industry & Defence Network Incorporated and AIDN National (“AIDN”)	5 May 2021	37 252 416 031	Precision Public Affairs Pty Ltd | 42 639 299 415
AUSTRALIAN INDUSTRY & DEFENCE NETWORK LIMITED	24 September 2024	29 115 614 803	Hawker Britton Group Pty Ltd | 79 109 681 405
Australian Integrated Carbon	25 September 2024	52 610 332 931	York Park Group Pty Ltd | 49 642 775 577
Australian Intelligence Machines Pty Ltd (“AIM”)	12 October 2021	426 392 99 415	Precision Public Affairs Pty Ltd | 42 639 299 415
Australian Investment Council Limited	23 May 2023	84 056 885 708	TSB Advisory Pty Ltd | 90 604 408 826
Australian Investment Council Limited	4 November 2024	84 056 885 708	CT GROUP (AUSTRALIA) PTY LTD | 58 101 934 454
AUSTRALIAN KOOKABURRA KIDS FOUNDATION LIMITED	18 September 2024	12 614 172 173	EJF Advisory Pty Ltd | 91 659 678 047
Australian Lamb Pty Ltd	6 October 2023	56 087 919 944	Royce Communications Pty Ltd | 91 167 042 408
